year mm dd hh mm ss msec long lat alt
#START
2003 11 17 0 0 0 0 205.27 -85.59 521.24
2003 11 17 0 1 0 0 210.99 -81.87 520.85
2003 11 17 0 2 0 0 212.96 -78.12 520.22
2003 11 17 0 3 0 0 213.88 -74.35 519.34
2003 11 17 0 4 0 0 214.35 -70.58 518.22
2003 11 17 0 5 0 0 214.60 -66.80 516.90
2003 11 17 0 6 0 0 214.71 -63.02 515.37
2003 11 17 0 7 0 0 214.74 -59.24 513.66
2003 11 17 0 8 0 0 214.71 -55.45 511.79
2003 11 17 0 9 0 0 214.65 -51.66 509.78
2003 11 17 0 10 0 0 214.56 -47.87 507.65
2003 11 17 0 11 0 0 214.44 -44.07 505.44
2003 11 17 0 12 0 0 214.31 -40.26 503.16
2003 11 17 0 13 0 0 214.16 -36.45 500.84
2003 11 17 0 14 0 0 214.01 -32.64 498.51
2003 11 17 0 15 0 0 213.85 -28.82 496.19
2003 11 17 0 16 0 0 213.68 -24.99 493.90
2003 11 17 0 17 0 0 213.51 -21.17 491.68
2003 11 17 0 18 0 0 213.33 -17.34 489.54
2003 11 17 0 19 0 0 213.15 -13.50 487.50
2003 11 17 0 20 0 0 212.97 -9.66 485.57
2003 11 17 0 21 0 0 212.79 -5.82 483.79
2003 11 17 0 22 0 0 212.60 -1.98 482.15
2003 11 17 0 23 0 0 212.42 1.86 480.66
2003 11 17 0 24 0 0 212.23 5.71 479.34
2003 11 17 0 25 0 0 212.05 9.56 478.18
2003 11 17 0 26 0 0 211.87 13.40 477.19
2003 11 17 0 27 0 0 211.69 17.25 476.37
2003 11 17 0 28 0 0 211.51 21.10 475.71
2003 11 17 0 29 0 0 211.34 24.94 475.21
2003 11 17 0 30 0 0 211.17 28.79 474.84
2003 11 17 0 31 0 0 211.01 32.63 474.62
2003 11 17 0 32 0 0 210.86 36.48 474.51
2003 11 17 0 33 0 0 210.71 40.32 474.51
2003 11 17 0 34 0 0 210.58 44.16 474.60
2003 11 17 0 35 0 0 210.47 47.99 474.76
2003 11 17 0 36 0 0 210.38 51.83 474.98
2003 11 17 0 37 0 0 210.31 55.66 475.23
2003 11 17 0 38 0 0 210.29 59.49 475.51
2003 11 17 0 39 0 0 210.33 63.31 475.79
2003 11 17 0 40 0 0 210.46 67.14 476.07
2003 11 17 0 41 0 0 210.72 70.96 476.32
2003 11 17 0 42 0 0 211.24 74.77 476.54
2003 11 17 0 43 0 0 212.25 78.59 476.71
2003 11 17 0 44 0 0 214.50 82.39 476.83
2003 11 17 0 45 0 0 221.63 86.14 476.89
2003 11 17 0 46 0 0 301.89 89.01 476.89
2003 11 17 0 47 0 0 12.26 85.97 476.82
2003 11 17 0 48 0 0 18.90 82.21 476.69
2003 11 17 0 49 0 0 21.06 78.40 476.51
2003 11 17 0 50 0 0 22.04 74.59 476.27
2003 11 17 0 51 0 0 22.54 70.77 476.00
2003 11 17 0 52 0 0 22.80 66.95 475.68
2003 11 17 0 53 0 0 22.92 63.13 475.35
2003 11 17 0 54 0 0 22.95 59.30 475.01
2003 11 17 0 55 0 0 22.93 55.47 474.68
2003 11 17 0 56 0 0 22.86 51.64 474.38
2003 11 17 0 57 0 0 22.77 47.80 474.11
2003 11 17 0 58 0 0 22.66 43.97 473.91
2003 11 17 0 59 0 0 22.53 40.13 473.78
2003 11 17 1 0 0 0 22.38 36.29 473.75
2003 11 17 1 1 0 0 22.23 32.44 473.82
2003 11 17 1 2 0 0 22.07 28.60 474.02
2003 11 17 1 3 0 0 21.90 24.75 474.36
2003 11 17 1 4 0 0 21.73 20.90 474.85
2003 11 17 1 5 0 0 21.55 17.06 475.49
2003 11 17 1 6 0 0 21.37 13.21 476.31
2003 11 17 1 7 0 0 21.19 9.36 477.29
2003 11 17 1 8 0 0 21.00 5.51 478.44
2003 11 17 1 9 0 0 20.82 1.66 479.77
2003 11 17 1 10 0 0 20.63 -2.18 481.26
2003 11 17 1 11 0 0 20.45 -6.02 482.92
2003 11 17 1 12 0 0 20.27 -9.87 484.72
2003 11 17 1 13 0 0 20.08 -13.70 486.66
2003 11 17 1 14 0 0 19.90 -17.54 488.73
2003 11 17 1 15 0 0 19.73 -21.37 490.90
2003 11 17 1 16 0 0 19.56 -25.20 493.15
2003 11 17 1 17 0 0 19.39 -29.02 495.46
2003 11 17 1 18 0 0 19.23 -32.84 497.81
2003 11 17 1 19 0 0 19.07 -36.66 500.18
2003 11 17 1 20 0 0 18.93 -40.47 502.54
2003 11 17 1 21 0 0 18.80 -44.27 504.86
2003 11 17 1 22 0 0 18.68 -48.07 507.11
2003 11 17 1 23 0 0 18.59 -51.87 509.28
2003 11 17 1 24 0 0 18.53 -55.66 511.33
2003 11 17 1 25 0 0 18.50 -59.45 513.24
2003 11 17 1 26 0 0 18.54 -63.24 515.00
2003 11 17 1 27 0 0 18.65 -67.01 516.57
2003 11 17 1 28 0 0 18.91 -70.79 517.94
2003 11 17 1 29 0 0 19.40 -74.56 519.09
2003 11 17 1 30 0 0 20.35 -78.33 520.01
2003 11 17 1 31 0 0 22.42 -82.08 520.70
2003 11 17 1 32 0 0 28.59 -85.80 521.13
2003 11 17 1 33 0 0 87.06 -88.97 521.31
2003 11 17 1 34 0 0 178.71 -86.41 521.23
2003 11 17 1 35 0 0 186.62 -82.70 520.89
2003 11 17 1 36 0 0 189.03 -78.95 520.31
2003 11 17 1 37 0 0 190.10 -75.19 519.48
2003 11 17 1 38 0 0 190.65 -71.42 518.42
2003 11 17 1 39 0 0 190.93 -67.65 517.14
2003 11 17 1 40 0 0 191.07 -63.87 515.66
2003 11 17 1 41 0 0 191.11 -60.09 513.99
2003 11 17 1 42 0 0 191.10 -56.30 512.15
2003 11 17 1 43 0 0 191.04 -52.51 510.17
2003 11 17 1 44 0 0 190.95 -48.71 508.07
2003 11 17 1 45 0 0 190.84 -44.91 505.88
2003 11 17 1 46 0 0 190.71 -41.11 503.61
2003 11 17 1 47 0 0 190.57 -37.30 501.30
2003 11 17 1 48 0 0 190.42 -33.49 498.97
2003 11 17 1 49 0 0 190.26 -29.67 496.65
2003 11 17 1 50 0 0 190.09 -25.85 494.36
2003 11 17 1 51 0 0 189.92 -22.02 492.12
2003 11 17 1 52 0 0 189.74 -18.19 489.96
2003 11 17 1 53 0 0 189.56 -14.36 487.90
2003 11 17 1 54 0 0 189.38 -10.52 485.95
2003 11 17 1 55 0 0 189.20 -6.68 484.14
2003 11 17 1 56 0 0 189.01 -2.84 482.46
2003 11 17 1 57 0 0 188.83 1.01 480.94
2003 11 17 1 58 0 0 188.64 4.85 479.59
2003 11 17 1 59 0 0 188.46 8.70 478.40
2003 11 17 2 0 0 0 188.28 12.55 477.38
2003 11 17 2 1 0 0 188.10 16.39 476.52
2003 11 17 2 2 0 0 187.92 20.24 475.83
2003 11 17 2 3 0 0 187.75 24.09 475.29
2003 11 17 2 4 0 0 187.58 27.93 474.90
2003 11 17 2 5 0 0 187.41 31.78 474.65
2003 11 17 2 6 0 0 187.26 35.62 474.52
2003 11 17 2 7 0 0 187.11 39.46 474.50
2003 11 17 2 8 0 0 186.98 43.30 474.57
2003 11 17 2 9 0 0 186.86 47.14 474.72
2003 11 17 2 10 0 0 186.76 50.97 474.93
2003 11 17 2 11 0 0 186.69 54.80 475.18
2003 11 17 2 12 0 0 186.66 58.63 475.46
2003 11 17 2 13 0 0 186.68 62.46 475.74
2003 11 17 2 14 0 0 186.79 66.28 476.02
2003 11 17 2 15 0 0 187.01 70.11 476.28
2003 11 17 2 16 0 0 187.46 73.92 476.51
2003 11 17 2 17 0 0 188.32 77.74 476.70
2003 11 17 2 18 0 0 190.17 81.54 476.83
2003 11 17 2 19 0 0 195.38 85.31 476.91
2003 11 17 2 20 0 0 235.30 88.76 476.92
