#START
 2003 11 04 00 00 59  3.75924885e-03 2.28084972e-03 1.26226763e-03 9.04693155e-04 6.61312725e-04 3.65478894e-04 2.66493386e-04 2.25008809e-04 4.74028269e-04 1.35184964e-04 3.59620780e-03 4.84331325e-03 2.35541463e-04 6.82414393e-05 4.44428496e-05 1.42823640e-04 4.14312526e-05 7.08490552e-05 1.33050160e-04 7.91616854e-05 1.61003248e-04 1.99378780e-04 1.14845829e-04 7.68347137e-05 5.35943145e-06 9.98228206e-06 6.22276202e-06 2.71107228e-05 5.05305616e-06 1.80385530e-05 5.27474782e-05 3.94989242e-05 2.16398184e-05 5.34733482e-05 4.43469267e-05 1.47801169e-05 6.06994018e-05 7.67978608e-05 9.92234272e-06 5.18548572e-05 1.48601540e-04 3.12401360e-05 3.11857575e-04 0.00000000e+00 4.39454522e-04 2.43351500e-04 6.04289293e-05 3.87712033e-05 4.52475599e-04 6.37136876e-04 1.12364621e-04 3.86708315e-04 1.15249856e-04 3.99225009e-05 8.89186562e-05 5.44179275e-05 4.38248030e-06 7.96795848e-07 1.39168310e-07
 2003 11 04 00 01 59  3.75911769e-03 2.28073538e-03 1.26216118e-03 9.04632478e-04 6.61215935e-04 3.65461767e-04 2.66468961e-04 2.24973960e-04 4.73983646e-04 1.35174021e-04 3.59605301e-03 4.84315343e-03 2.35483238e-04 6.82274092e-05 4.44393918e-05 1.43519006e-04 4.14359820e-05 7.09464948e-05 1.33561049e-04 7.91868893e-05 1.61731932e-04 2.00973452e-04 1.16070221e-04 7.72325644e-05 5.35937834e-06 1.00710335e-05 6.22347361e-06 2.72742112e-05 5.06727520e-06 1.81047179e-05 5.28400108e-05 3.95001378e-05 2.16415094e-05 5.35917256e-05 4.54372668e-05 1.47825063e-05 6.07811590e-05 7.70353206e-05 9.97087263e-06 5.20142111e-05 1.48980922e-04 3.12506658e-05 3.12139801e-04 0.00000000e+00 4.39473474e-04 2.43447632e-04 6.04268862e-05 3.87697568e-05 4.52488746e-04 6.37156732e-04 1.12514318e-04 3.86841244e-04 1.15242276e-04 3.99221306e-05 8.89131821e-05 5.44445056e-05 4.40086174e-06 8.01972715e-07 1.40107443e-07
 2003 11 04 00 02 59  3.75892607e-03 2.28056165e-03 1.26199608e-03 9.04537484e-04 6.61065240e-04 3.65434082e-04 2.66430519e-04 2.24919220e-04 4.73905063e-04 1.35155062e-04 3.59582641e-03 4.84294891e-03 2.35392507e-04 6.82061678e-05 4.44330628e-05 1.42857865e-04 4.14352398e-05 7.08485197e-05 1.33068966e-04 7.91858765e-05 1.61015888e-04 1.99398200e-04 1.14869180e-04 7.68385102e-05 5.35932522e-06 9.98348551e-06 6.22342923e-06 2.71148978e-05 5.05385724e-06 1.80395935e-05 5.27502134e-05 3.94983101e-05 2.16408982e-05 5.34741131e-05 4.43603669e-05 1.47824045e-05 6.07010324e-05 7.68047487e-05 9.92191126e-06 5.18584833e-05 1.48606815e-04 3.12498538e-05 3.11852255e-04 0.00000000e+00 4.39430540e-04 2.43344515e-04 6.04227942e-05 3.87681823e-05 4.52451564e-04 6.37111917e-04 1.12379797e-04 3.86718972e-04 1.15231355e-04 3.99181614e-05 8.89040186e-05 5.44383463e-05 4.40058070e-06 8.01957844e-07 1.40106090e-07
 2003 11 04 00 03 59  3.75889750e-03 2.28053883e-03 1.26197897e-03 9.04524749e-04 6.61052512e-04 3.65428813e-04 2.66425354e-04 2.24913232e-04 4.73885896e-04 1.35150202e-04 3.59572844e-03 4.84280847e-03 2.35385613e-04 6.82048793e-05 4.44316049e-05 1.42815892e-04 4.14290320e-05 7.08433508e-05 1.33044165e-04 7.91588158e-05 1.60991319e-04 1.99363580e-04 1.14839436e-04 7.68313955e-05 5.35927211e-06 9.98150499e-06 6.22269799e-06 2.71098913e-05 5.05299140e-06 1.80380038e-05 5.27443928e-05 3.94980045e-05 2.16379849e-05 5.34698460e-05 4.43431403e-05 1.47798113e-05 6.06934220e-05 7.67896503e-05 9.92169516e-06 5.18496544e-05 1.48583879e-04 3.12377000e-05 3.11822335e-04 0.00000000e+00 4.39418340e-04 2.43315746e-04 6.04166649e-05 3.87664768e-05 4.52418307e-04 6.37076008e-04 1.12353073e-04 3.86648375e-04 1.15217092e-04 3.99105900e-05 8.88911631e-05 5.43994529e-05 4.38163761e-06 7.96751283e-07 1.39164251e-07
 2003 11 04 00 04 59  3.75886748e-03 2.28051376e-03 1.26195954e-03 9.04510286e-04 6.61037806e-04 3.65422778e-04 2.66419461e-04 2.24906335e-04 4.73863203e-04 1.35144509e-04 3.59562336e-03 4.84266281e-03 2.35377582e-04 6.82034619e-05 4.44298249e-05 1.42760096e-04 4.14209149e-05 7.08370702e-05 1.33011428e-04 7.91226514e-05 1.60959552e-04 1.99318584e-04 1.14799988e-04 7.68221811e-05 5.35921899e-06 9.97891912e-06 6.22171647e-06 2.71032376e-05 5.05183089e-06 1.80359246e-05 5.27368926e-05 3.94976960e-05 2.16342596e-05 5.34645013e-05 4.43203055e-05 1.47763436e-05 6.06838491e-05 7.67702287e-05 9.92147980e-06 5.18383366e-05 1.48554960e-04 3.12215940e-05 3.11786094e-04 0.00000000e+00 4.39406047e-04 2.43281131e-04 6.04098313e-05 3.87647306e-05 4.52380165e-04 6.37034735e-04 1.12318666e-04 3.86560448e-04 1.15201716e-04 3.99018176e-05 8.88770792e-05 5.43496451e-05 4.35647398e-06 7.89814203e-07 1.37908921e-07
 2003 11 04 00 06 00  3.75884207e-03 2.28049549e-03 1.26194711e-03 9.04501004e-04 6.61029021e-04 3.65419048e-04 2.66415757e-04 2.24902164e-04 4.73851122e-04 1.35141305e-04 3.59554007e-03 4.84253466e-03 2.35372970e-04 6.82024436e-05 4.44289816e-05 1.42744088e-04 4.14183130e-05 7.08340667e-05 1.33001683e-04 7.91128201e-05 1.60948567e-04 1.99303444e-04 1.14788436e-04 7.68190310e-05 5.35916624e-06 9.97807219e-06 6.22145308e-06 2.71013531e-05 5.05152238e-06 1.80352637e-05 5.27342300e-05 3.94973904e-05 2.16328626e-05 5.34622828e-05 4.43135999e-05 1.47753919e-05 6.06799462e-05 7.67632852e-05 9.92126370e-06 5.18341861e-05 1.48543268e-04 3.12169286e-05 3.11768179e-04 0.00000000e+00 4.39393939e-04 2.43263508e-04 6.04050525e-05 3.87631124e-05 4.52356285e-04 6.37009163e-04 1.12307168e-04 3.86523405e-04 1.15189684e-04 3.98966482e-05 8.88666853e-05 5.43325737e-05 4.34997237e-06 7.88068814e-07 1.37594077e-07
 2003 11 04 00 07 00  3.75881204e-03 2.28047037e-03 1.26192771e-03 9.04486546e-04 6.61014325e-04 3.65413014e-04 2.66409863e-04 2.24895266e-04 4.73828401e-04 1.35135616e-04 3.59543516e-03 4.84238937e-03 2.35364937e-04 6.82010231e-05 4.44271827e-05 1.42687295e-04 4.14100621e-05 7.08277686e-05 1.32968444e-04 7.90760503e-05 1.60916296e-04 1.99257676e-04 1.14748246e-04 7.68096708e-05 5.35911313e-06 9.97543975e-06 6.22045191e-06 2.70945947e-05 5.05034150e-06 1.80331544e-05 5.27266076e-05 3.94970848e-05 2.16290733e-05 5.34568711e-05 4.42903402e-05 1.47718558e-05 6.06702410e-05 7.67435615e-05 9.92104833e-06 5.18226891e-05 1.48513912e-04 3.12005723e-05 3.11731525e-04 0.00000000e+00 4.39381739e-04 2.43228579e-04 6.03981898e-05 3.87613691e-05 4.52317917e-04 6.36967673e-04 1.12272669e-04 3.86434803e-04 1.15174310e-04 3.98878754e-05 8.88526021e-05 5.42827695e-05 4.32480861e-06 7.81131712e-07 1.36338747e-07
 2003 11 04 00 08 00  3.75878504e-03 2.28044984e-03 1.26191297e-03 9.04475545e-04 6.61003572e-04 3.65408519e-04 2.66405434e-04 2.24890196e-04 4.73812789e-04 1.35131582e-04 3.59534434e-03 4.84225489e-03 2.35359184e-04 6.81998778e-05 4.44260163e-05 1.42657295e-04 4.14055277e-05 7.08236534e-05 1.32950675e-04 7.90569989e-05 1.60898021e-04 1.99232023e-04 1.14726857e-04 7.68043932e-05 5.35906001e-06 9.97397874e-06 6.21993458e-06 2.70910440e-05 5.04973395e-06 1.80319987e-05 5.27222468e-05 3.94967792e-05 2.16268541e-05 5.34535639e-05 4.42779477e-05 1.47700164e-05 6.06643525e-05 7.67322387e-05 9.92083296e-06 5.18160195e-05 1.48496160e-04 3.11919139e-05 3.11707198e-04 0.00000000e+00 4.39369585e-04 2.43205060e-04 6.03927008e-05 3.87597102e-05 4.52289114e-04 6.36936730e-04 1.12253469e-04 3.86380317e-04 1.15161163e-04 3.98815049e-05 8.88409777e-05 5.42547901e-05 4.31208609e-06 7.77655760e-07 1.35710400e-07
 2003 11 04 00 09 00  3.75875967e-03 2.28043160e-03 1.26190056e-03 9.04466273e-04 6.60994826e-04 3.65404797e-04 2.66401730e-04 2.24886031e-04 4.73800710e-04 1.35128378e-04 3.59526094e-03 4.84212674e-03 2.35354569e-04 6.81988661e-05 4.44251686e-05 1.42640926e-04 4.14028793e-05 7.08206499e-05 1.32940752e-04 7.90469465e-05 1.60886861e-04 1.99216606e-04 1.14715039e-04 7.68011904e-05 5.35900726e-06 9.97311508e-06 6.21966392e-06 2.70891223e-05 5.04941781e-06 1.80313272e-05 5.27195438e-05 3.94964736e-05 2.16254324e-05 5.34513214e-05 4.42710880e-05 1.47690400e-05 6.06604021e-05 7.67251869e-05 9.92061687e-06 5.18118046e-05 1.48484310e-04 3.11871612e-05 3.11689142e-04 0.00000000e+00 4.39357478e-04 2.43187333e-04 6.03879162e-05 3.87580949e-05 4.52265167e-04 6.36911120e-04 1.12241944e-04 3.86343034e-04 1.15149129e-04 3.98763352e-05 8.88305869e-05 5.42377173e-05 4.30558453e-06 7.75910348e-07 1.35395555e-07
 2003 11 04 00 10 00  3.75873421e-03 2.28041334e-03 1.26188816e-03 9.04456987e-04 6.60986043e-04 3.65401074e-04 2.66398027e-04 2.24881865e-04 4.73788653e-04 1.35125180e-04 3.59517737e-03 4.84199859e-03 2.35349955e-04 6.81978517e-05 4.44243171e-05 1.42624509e-04 4.14002250e-05 7.08176463e-05 1.32930803e-04 7.90368649e-05 1.60875669e-04 1.99201147e-04 1.14703182e-04 7.67979801e-05 5.35895415e-06 9.97224925e-06 6.21939180e-06 2.70871950e-05 5.04910058e-06 1.80306542e-05 5.27168333e-05 3.94961651e-05 2.16240107e-05 5.34490763e-05 4.42642078e-05 1.47680592e-05 6.06564451e-05 7.67181212e-05 9.92040150e-06 5.18075803e-05 1.48472437e-04 3.11823911e-05 3.11671055e-04 0.00000000e+00 4.39345418e-04 2.43169584e-04 6.03831257e-05 3.87564796e-05 4.52241209e-04 6.36885502e-04 1.12230413e-04 3.86305719e-04 1.15137097e-04 3.98711645e-05 8.88201908e-05 5.42206488e-05 4.29908314e-06 7.74164937e-07 1.35080722e-07
