year mm dd hh mm ss msec long lat alt
#START
2003 10 26 1 55 0 0 209.06 -78.53 511.65
2003 10 26 1 56 0 0 210.06 -74.76 511.75
2003 10 26 1 57 0 0 210.57 -70.98 511.66
2003 10 26 1 58 0 0 210.83 -67.20 511.38
2003 10 26 1 59 0 0 210.96 -63.41 510.93
2003 10 26 2 0 0 0 211.00 -59.63 510.32
2003 10 26 2 1 0 0 210.98 -55.84 509.56
2003 10 26 2 2 0 0 210.92 -52.04 508.67
2003 10 26 2 3 0 0 210.82 -48.24 507.68
2003 10 26 2 4 0 0 210.71 -44.44 506.60
2003 10 26 2 5 0 0 210.58 -40.64 505.45
2003 10 26 2 6 0 0 210.44 -36.83 504.25
2003 10 26 2 7 0 0 210.29 -33.03 503.03
2003 10 26 2 8 0 0 210.13 -29.21 501.80
2003 10 26 2 9 0 0 209.96 -25.40 500.59
2003 10 26 2 10 0 0 209.79 -21.58 499.41
2003 10 26 2 11 0 0 209.61 -17.75 498.28
2003 10 26 2 12 0 0 209.43 -13.93 497.21
2003 10 26 2 13 0 0 209.25 -10.10 496.22
2003 10 26 2 14 0 0 209.06 -6.28 495.32
2003 10 26 2 15 0 0 208.88 -2.45 494.51
2003 10 26 2 16 0 0 208.70 1.38 493.81
2003 10 26 2 17 0 0 208.51 5.21 493.22
2003 10 26 2 18 0 0 208.33 9.05 492.73
2003 10 26 2 19 0 0 208.15 12.88 492.35
2003 10 26 2 20 0 0 207.97 16.71 492.08
2003 10 26 2 21 0 0 207.79 20.54 491.89
2003 10 26 2 22 0 0 207.62 24.37 491.80
2003 10 26 2 23 0 0 207.45 28.19 491.77
2003 10 26 2 24 0 0 207.28 32.02 491.81
2003 10 26 2 25 0 0 207.13 35.84 491.90
2003 10 26 2 26 0 0 206.98 39.66 492.03
2003 10 26 2 27 0 0 206.85 43.48 492.17
2003 10 26 2 28 0 0 206.73 47.30 492.30
2003 10 26 2 29 0 0 206.64 51.11 492.43
2003 10 26 2 30 0 0 206.57 54.93 492.52
2003 10 26 2 31 0 0 206.54 58.74 492.56
2003 10 26 2 32 0 0 206.56 62.55 492.54
2003 10 26 2 33 0 0 206.67 66.35 492.44
2003 10 26 2 34 0 0 206.90 70.15 492.25
2003 10 26 2 35 0 0 207.34 73.96 491.96
2003 10 26 2 36 0 0 208.21 77.75 491.56
2003 10 26 2 37 0 0 210.06 81.54 491.05
2003 10 26 2 38 0 0 215.26 85.30 490.42
2003 10 26 2 39 0 0 254.23 88.73 489.68
2003 10 26 2 40 0 0 4.54 86.83 488.81
2003 10 26 2 41 0 0 14.21 83.10 487.84
2003 10 26 2 42 0 0 16.91 79.32 486.76
2003 10 26 2 43 0 0 18.07 75.52 485.59
2003 10 26 2 44 0 0 18.66 71.71 484.33
2003 10 26 2 45 0 0 18.97 67.90 483.00
2003 10 26 2 46 0 0 19.12 64.08 481.62
2003 10 26 2 47 0 0 19.17 60.26 480.21
2003 10 26 2 48 0 0 19.16 56.44 478.78
2003 10 26 2 49 0 0 19.10 52.61 477.35
2003 10 26 2 50 0 0 19.02 48.78 475.96
2003 10 26 2 51 0 0 18.91 44.95 474.61
2003 10 26 2 52 0 0 18.78 41.11 473.34
2003 10 26 2 53 0 0 18.64 37.26 472.16
2003 10 26 2 54 0 0 18.49 33.42 471.09
2003 10 26 2 55 0 0 18.33 29.57 470.17
2003 10 26 2 56 0 0 18.16 25.72 469.39
2003 10 26 2 57 0 0 17.99 21.87 468.79
2003 10 26 2 58 0 0 17.82 18.01 468.37
2003 10 26 2 59 0 0 17.64 14.15 468.16
2003 10 26 3 0 0 0 17.46 10.29 468.15
2003 10 26 3 1 0 0 17.28 6.44 468.36
2003 10 26 3 2 0 0 17.09 2.58 468.79
2003 10 26 3 3 0 0 16.91 -1.28 469.44
2003 10 26 3 4 0 0 16.72 -5.14 470.31
2003 10 26 3 5 0 0 16.54 -9.00 471.39
2003 10 26 3 6 0 0 16.36 -12.85 472.67
2003 10 26 3 7 0 0 16.18 -16.70 474.14
2003 10 26 3 8 0 0 16.00 -20.55 475.79
2003 10 26 3 9 0 0 15.83 -24.40 477.60
2003 10 26 3 10 0 0 15.66 -28.24 479.54
2003 10 26 3 11 0 0 15.50 -32.08 481.61
2003 10 26 3 12 0 0 15.34 -35.91 483.76
2003 10 26 3 13 0 0 15.20 -39.74 485.98
2003 10 26 3 14 0 0 15.07 -43.56 488.25
2003 10 26 3 15 0 0 14.95 -47.38 490.53
2003 10 26 3 16 0 0 14.85 -51.20 492.80
2003 10 26 3 17 0 0 14.78 -55.01 495.04
2003 10 26 3 18 0 0 14.75 -58.82 497.22
2003 10 26 3 19 0 0 14.78 -62.62 499.31
2003 10 26 3 20 0 0 14.88 -66.42 501.29
2003 10 26 3 21 0 0 15.12 -70.21 503.14
2003 10 26 3 22 0 0 15.56 -74.00 504.85
2003 10 26 3 23 0 0 16.43 -77.78 506.39
2003 10 26 3 24 0 0 18.28 -81.55 507.75
2003 10 26 3 25 0 0 23.43 -85.29 508.92
2003 10 26 3 26 0 0 61.27 -88.71 509.89
2003 10 26 3 27 0 0 172.44 -86.88 510.66
2003 10 26 3 28 0 0 182.33 -83.18 511.23
2003 10 26 3 29 0 0 185.07 -79.43 511.58
2003 10 26 3 30 0 0 186.25 -75.66 511.73
2003 10 26 3 31 0 0 186.85 -71.88 511.69
2003 10 26 3 32 0 0 187.16 -68.10 511.46
2003 10 26 3 33 0 0 187.31 -64.31 511.05
2003 10 26 3 34 0 0 187.36 -60.53 510.48
2003 10 26 3 35 0 0 187.35 -56.74 509.76
2003 10 26 3 36 0 0 187.30 -52.94 508.90
2003 10 26 3 37 0 0 187.22 -49.15 507.94
2003 10 26 3 38 0 0 187.11 -45.35 506.88
2003 10 26 3 39 0 0 186.98 -41.55 505.75
2003 10 26 3 40 0 0 186.84 -37.74 504.56
2003 10 26 3 41 0 0 186.69 -33.93 503.35
2003 10 26 3 42 0 0 186.53 -30.12 502.12
2003 10 26 3 43 0 0 186.37 -26.30 500.91
2003 10 26 3 44 0 0 186.19 -22.48 499.72
2003 10 26 3 45 0 0 186.02 -18.66 498.57
2003 10 26 3 46 0 0 185.84 -14.84 497.49
2003 10 26 3 47 0 0 185.66 -11.01 496.48
2003 10 26 3 48 0 0 185.48 -7.19 495.55
2003 10 26 3 49 0 0 185.29 -3.36 494.72
2003 10 26 3 50 0 0 185.11 0.47 494.00
2003 10 26 3 51 0 0 184.92 4.30 493.38
2003 10 26 3 52 0 0 184.74 8.13 492.87
2003 10 26 3 53 0 0 184.55 11.97 492.46
2003 10 26 3 54 0 0 184.37 15.80 492.16
2003 10 26 3 55 0 0 184.20 19.63 491.95
2003 10 26 3 56 0 0 184.02 23.46 491.83
2003 10 26 3 57 0 0 183.85 27.28 491.79
2003 10 26 3 58 0 0 183.69 31.11 491.82
2003 10 26 3 59 0 0 183.53 34.93 491.90
2003 10 26 4 0 0 0 183.38 38.75 492.01
2003 10 26 4 1 0 0 183.25 42.57 492.14
2003 10 26 4 2 0 0 183.12 46.39 492.28
2003 10 26 4 3 0 0 183.02 50.21 492.41
2003 10 26 4 4 0 0 182.95 54.02 492.51
2003 10 26 4 5 0 0 182.91 57.83 492.56
2003 10 26 4 6 0 0 182.91 61.64 492.55
2003 10 26 4 7 0 0 182.99 65.45 492.47
2003 10 26 4 8 0 0 183.19 69.25 492.30
2003 10 26 4 9 0 0 183.57 73.05 492.04
2003 10 26 4 10 0 0 184.31 76.85 491.66
2003 10 26 4 11 0 0 185.83 80.64 491.18
