year mm dd hh mm ss msec long lat alt
#START
2004 11 4 0 0 0 0 182.61 -37.53 499.17
2004 11 4 0 1 0 0 182.46 -33.71 497.85
2004 11 4 0 2 0 0 182.29 -29.90 496.51
2004 11 4 0 3 0 0 182.13 -26.08 495.18
2004 11 4 0 4 0 0 181.95 -22.25 493.88
2004 11 4 0 5 0 0 181.77 -18.43 492.63
2004 11 4 0 6 0 0 181.59 -14.60 491.44
2004 11 4 0 7 0 0 181.41 -10.77 490.32
2004 11 4 0 8 0 0 181.23 -6.93 489.29
2004 11 4 0 9 0 0 181.04 -3.10 488.37
2004 11 4 0 10 0 0 180.86 0.74 487.54
2004 11 4 0 11 0 0 180.67 4.57 486.83
2004 11 4 0 12 0 0 180.48 8.41 486.23
2004 11 4 0 13 0 0 180.30 12.25 485.73
2004 11 4 0 14 0 0 180.12 16.08 485.35
2004 11 4 0 15 0 0 179.94 19.92 485.07
2004 11 4 0 16 0 0 179.76 23.75 484.88
2004 11 4 0 17 0 0 179.59 27.59 484.77
2004 11 4 0 18 0 0 179.43 31.42 484.73
2004 11 4 0 19 0 0 179.27 35.25 484.75
2004 11 4 0 20 0 0 179.12 39.08 484.82
2004 11 4 0 21 0 0 178.98 42.90 484.90
2004 11 4 0 22 0 0 178.86 46.73 485.00
2004 11 4 0 23 0 0 178.76 50.55 485.09
2004 11 4 0 24 0 0 178.68 54.37 485.16
2004 11 4 0 25 0 0 178.64 58.19 485.19
2004 11 4 0 26 0 0 178.65 62.00 485.16
2004 11 4 0 27 0 0 178.73 65.81 485.07
2004 11 4 0 28 0 0 178.93 69.63 484.89
2004 11 4 0 29 0 0 179.33 73.43 484.63
2004 11 4 0 30 0 0 180.09 77.24 484.26
2004 11 4 0 31 0 0 181.71 81.03 483.79
2004 11 4 0 32 0 0 186.01 84.81 483.21
2004 11 4 0 33 0 0 211.91 88.39 482.51
2004 11 4 0 34 0 0 333.91 87.30 481.71
2004 11 4 0 35 0 0 345.95 83.59 480.80
2004 11 4 0 36 0 0 348.95 79.80 479.79
2004 11 4 0 37 0 0 350.20 75.99 478.69
2004 11 4 0 38 0 0 350.82 72.18 477.51
2004 11 4 0 39 0 0 351.14 68.36 476.26
2004 11 4 0 40 0 0 351.29 64.54 474.96
2004 11 4 0 41 0 0 351.35 60.71 473.63
2004 11 4 0 42 0 0 351.34 56.89 472.29
2004 11 4 0 43 0 0 351.28 53.05 470.95
2004 11 4 0 44 0 0 351.20 49.22 469.64
2004 11 4 0 45 0 0 351.09 45.37 468.39
2004 11 4 0 46 0 0 350.96 41.53 467.20
2004 11 4 0 47 0 0 350.82 37.68 466.11
2004 11 4 0 48 0 0 350.67 33.83 465.14
2004 11 4 0 49 0 0 350.51 29.98 464.30
2004 11 4 0 50 0 0 350.34 26.12 463.62
2004 11 4 0 51 0 0 350.17 22.26 463.10
2004 11 4 0 52 0 0 349.99 18.40 462.77
2004 11 4 0 53 0 0 349.81 14.54 462.64
2004 11 4 0 54 0 0 349.63 10.68 462.72
2004 11 4 0 55 0 0 349.44 6.82 463.01
2004 11 4 0 56 0 0 349.26 2.95 463.52
2004 11 4 0 57 0 0 349.07 -0.91 464.25
2004 11 4 0 58 0 0 348.89 -4.77 465.20
2004 11 4 0 59 0 0 348.70 -8.63 466.35
2004 11 4 1 0 0 0 348.52 -12.49 467.70
2004 11 4 1 1 0 0 348.34 -16.35 469.25
2004 11 4 1 2 0 0 348.16 -20.20 470.96
2004 11 4 1 3 0 0 347.98 -24.05 472.83
2004 11 4 1 4 0 0 347.81 -27.89 474.84
2004 11 4 1 5 0 0 347.65 -31.74 476.96
2004 11 4 1 6 0 0 347.49 -35.57 479.17
2004 11 4 1 7 0 0 347.34 -39.41 481.45
2004 11 4 1 8 0 0 347.21 -43.23 483.76
2004 11 4 1 9 0 0 347.08 -47.06 486.09
2004 11 4 1 10 0 0 346.98 -50.88 488.40
2004 11 4 1 11 0 0 346.91 -54.69 490.67
2004 11 4 1 12 0 0 346.87 -58.50 492.87
2004 11 4 1 13 0 0 346.88 -62.31 494.99
2004 11 4 1 14 0 0 346.97 -66.11 496.99
2004 11 4 1 15 0 0 347.18 -69.90 498.86
2004 11 4 1 16 0 0 347.59 -73.70 500.57
2004 11 4 1 17 0 0 348.39 -77.48 502.11
2004 11 4 1 18 0 0 350.08 -81.26 503.47
2004 11 4 1 19 0 0 354.66 -85.00 504.63
2004 11 4 1 20 0 0 24.21 -88.53 505.59
2004 11 4 1 21 0 0 143.19 -87.16 506.33
2004 11 4 1 22 0 0 154.32 -83.47 506.87
2004 11 4 1 23 0 0 157.21 -79.71 507.19
2004 11 4 1 24 0 0 158.43 -75.93 507.30
